SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;ISSUEDATE;EVENINGSESSION;MORNINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
PIKK;ПИК ао;ПИК СЗ (ПАО) ао;Акции обыкновенные;RU000A0JP7J7;1-02-01556-A;1;62,5;RUB;660497344;1;0;TQBR;Т+: Акции и ДР - безадрес.;;13.06.2007;1;1;0;0;2021-05-17;22.51;0.0234;закрытие реестра;426284985817.6;426284985817.6;"Публичное акционерное общество ""ПИК-специализированный застройщик""";7713011336;1;653,55;653,55;490,16;816,94;450,95;856,15;405,2;901,9;25,0;85906;31,0;429530;38,0;11,56000;8,44000;0
PLZL;Полюс;Полюс ПАО ао;Акции обыкновенные;RU000A0JNAA8;1-01-55192-E;1;1,0;RUB;136069400;1;0;TQBR;Т+: Акции и ДР - безадрес.;;12.05.2006;1;1;0;0;2021-10-11;267.48;0.0218;закрытие реестра;1425190895600.0;1425190895600.0;"Публичное акционерное общество ""Полюс""";7703389295;1;10484,82;10484,82;8387,86;12581,78;7758,77;13210,87;7024,83;13944,81;20,0;21395;26,0;106975;33,0;10,33000;9,64000;0
PMSB;ПермьЭнСб;"""Пермэнергосбыт"" ПАО ао";Акции обыкновенные;RU000A0ET123;1-01-55084-E;3;3,25;RUB;36210960;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.02.2006;0;0;0;0;2023-05-23;;;закрытие реестра (рекомендуемая);6123273336.0;8064721836.0;"Публичное акционерное общество ""Пермская энергосбытовая компания""";5904123809;10;169,811;169,811;84,906;254,717;42,453;297,169;8,491;331,131;50,0;78521;75,0;392605;95,0;5,27000;8,37000;1
POSI;iПозитив;Группа Позитив ао;Акции обыкновенные;RU000A103X66;1-01-85307-H;1;0,5;RUB;66000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;17.12.2021;1;0;0;0;2023-05-22;;;закрытие реестра (рекомендуемая);110246400000.0;110246400000.0;"Публичное акционерное общество ""Группа Позитив""";9718077239;1;1664,15;1664,15;832,08;2496,23;416,04;2912,26;83,21;3245,09;50,0;17285;75,0;84852;95,0;8,95000;7,53000;0
PRMB;Приморье;"АКБ ""Приморье"" ао";Акции обыкновенные;RU000A0DPNQ5;10103001B;3;1000,0;RUB;250000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;03.05.2011;0;0;0;0;2023-05-02;;;закрытие реестра;9350000000.0;9350000000.0;"акционерный коммерческий банк ""Приморье""  (публичное акционерное общество)";2536020789;1;37358,5;37358,5;0,0;74717,0;0,0;74717,0;0,0;74717,0;100,0;;;;;19,99000;22,92000;1
RASP;Распадская;ПАО Распадская ао;Акции обыкновенные;RU000A0B90N8;1-04-21725-N;2;0,004;RUB;665733918;0;0;TQBR;Т+: Акции и ДР - безадрес.;;14.11.2006;0;0;0;0;2022-01-18;;;закрытие реестра;182544240315.6;182544240315.6;"Публичное акционерное общество ""Распадская""";4214002316;10;274,062;274,062;219,25;328,874;202,806;345,318;183,622;364,502;20,0;114003;26,0;570015;33,0;10,23000;8,95000;0
RBCM;ГК РБК ао;ГК РБК ПАО ао;Акции обыкновенные;RU000A0JR6A6;1-02-56413-H;3;0,00064;RUB;365631010;0;0;TQBR;Т+: Акции и ДР - безадрес.;;19.01.2011;0;0;0;0;;;;;1367459977.4;1367459977.4;"Публичное акционерное общество ""Группа компаний РБК""";7728547955;100;3,7398;3,7398;0,0;7,4796;0,0;7,4796;0,0;7,4796;100,0;;;;;7,41000;15,47000;1
RDRB;РДБанк ао;РоссийскийДорож Банк ПАО ао;Акции обыкновенные;RU000A0JU6Q7;10201573B;3;124,0;RUB;18946998;0;0;TQBR;Т+: Акции и ДР - безадрес.;;31.10.2013;0;0;0;0;2022-09-20;;;закрытие реестра;3543088626.0;3543088626.0;"""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество)";7718011918;10;186,792;186,792;0,0;373,584;0,0;373,584;0,0;373,584;100,0;;;;;12,86000;11,79000;1
RENI;Ренессанс;Ренессанс Страхование ао;Акции обыкновенные;RU000A0ZZM04;1-01-10601-Z;1;9,88;RUB;556952780;0;0;TQBR;Т+: Акции и ДР - безадрес.;;20.10.2021;0;0;0;0;;;;;35812063754.0;35812063754.0;"Публичное акционерное общество ""Группа Ренессанс Страхование""";7725497022;10;64,229;64,229;32,115;96,344;16,057;112,401;3,211;125,247;50,0;78431;75,0;392155;95,0;11,03000;11,45000;0
RGSS;РГС СК ао;Росгосстрах СК ПАО ао;Акции обыкновенные;RU0008010855;1-03-10003-Z;3;0,03;RUB;489503740915;0;0;TQBR;Т+: Акции и ДР - безадрес.;;19.11.2013;0;0;0;0;2021-01-12;;;закрытие реестра;99173457909.379;99173457909.379;"Публичное акционерное общество Страховая Компания ""Росгосстрах""";7707067683;1000;0,20257;0,20257;0,0;0,40514;0,0;0,40514;0,0;0,40514;100,0;;;;;11,03000;17,42000;1
RKKE;ЭнергияРКК;РКК Энергия им.С.П.Королева ао;Акции обыкновенные;RU0009095939;1-03-01091-A;3;1000,0;RUB;1843714;0;0;TQBR;Т+: Акции и ДР - безадрес.;;29.05.2008;0;0;0;0;2016-07-14;;;закрытие реестра;26162301660.0;26162301660.0;"Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва""";5018033937;1;14174,25;14174,25;0,0;28348,5;0,0;28348,5;0,0;28348,5;100,0;;;;;14,44000;39,48000;1
RNFT;РуссНфт ао;РуссНефть НК ПАО ао;Акции обыкновенные;RU000A0JSE60;1-02-39134-H;1;0,5;RUB;294120000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;18.11.2016;0;0;0;0;2019-07-11;;;;35264988000.0;35264988000.0;"Публичное акционерное общество Нефтегазовая компания ""РуссНефть""";7717133960;1;119,27;119,27;79,91;158,63;59,64;178,91;29,82;208,72;33,0;108968;50,0;544840;75,0;13,10000;25,20000;0
ROLO;Русолово;"""Русолово"" ПАО ао";Акции обыкновенные;RU000A0JU1B0;1-01-15065-A;3;0,1;RUB;30001000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;12.08.2013;0;0;0;0;;;;;21600720000.0;21600720000.0;"Публичное акционерное общество ""Русолово""";7706774915;1000;0,7192;0,7192;0,0;1,4384;0,0;1,4384;0,0;1,4384;100,0;;;;;10,28000;13,26000;1
ROSB;Росбанк ао;РОСБАНК ПАО ао;Акции обыкновенные;RU000A0HHK26;10102272B;3;10,0;RUB;1551401853;0;0;TQBR;Т+: Акции и ДР - безадрес.;;30.01.2006;0;0;0;0;;;;;158863549747.2;158863549747.2;Публичное акционерное общество РОСБАНК;7730060164;10;102,286;102,286;0,0;204,572;0,0;204,572;0,0;204,572;100,0;;;;;18,33000;31,69000;1
ROSN;Роснефть;ПАО НК Роснефть;Акции обыкновенные;RU000A0J2Q06;1-02-00122-A;1;0,01;RUB;10598177817;1;0;TQBR;Т+: Акции и ДР - безадрес.;;19.07.2006;1;1;0;0;2023-01-12;20.39;0.0587;закрытие реестра;4013000030407.05;4013000030407.05;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1;379,44;379,44;265,61;493,27;242,84;516,04;216,28;542,6;30,0;1419670;36,0;7098350;43,0;7,38000;8,19000;0
ROST;РОСИНТЕРао;РОСИНТЕР РЕСТОРАНТС (ПАО);Акции обыкновенные;RU000A0JP922;1-02-55033-E;3;169,7;RUB;16305334;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.08.2008;0;0;0;0;;;;;1147895513.6000001;1147895513.6000001;"Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""";7722514880;10;70,122;70,122;0,0;140,244;0,0;140,244;0,0;140,244;100,0;;;;;9,47000;33,60000;1
RTGZ;ГазпРнД ао;Газпром газорасп Р-н-Д ПАО ао;Акции обыкновенные;RU000A0JPG04;1-02-30742-E;3;2000,0;RUB;120246;0;0;TQBR;Т+: Акции и ДР - безадрес.;;07.11.2012;0;0;0;0;;;;;3583330800.0;3583330800.0;"Публичное акционерное общество ""Газпром газораспределение Ростов-на-Дону""";6163000368;1;29766,93;29766,93;0,0;59533,86;0,0;59533,86;0,0;59533,86;100,0;;;;;19,19000;55,17000;1
RTKM;Ростел -ао;Ростелеком (ПАО) ао.;Акции обыкновенные;RU0008943394;1-01-00124-A;1;0,0025;RUB;3282997929;1;0;TQBR;Т+: Акции и ДР - безадрес.;;11.01.2005;1;1;0;0;2022-07-20;4.56;0.0747;закрытие реестра;210505827207.48;223928474872.83002;"Публичное акционерное общество ""Ростелеком""";7707049388;10;64,28;64,28;48,21;80,35;44,353;84,207;39,854;88,706;25,0;368558;31,0;1842790;38,0;5,10000;5,37000;0
RTSB;ТНСэнРст;ТНС энерго Ростов. ПАО ао;Акции обыкновенные;RU000A0D8PB4;1-01-50095-A;3;0,02;RUB;8128764676;0;0;TQBR;Т+: Акции и ДР - безадрес.;;26.12.2005;0;0;0;0;2022-07-20;;;закрытие реестра;12339464778.168;13379993453.911999;"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""";6168002922;1000;1,49834;1,49834;0,0;2,99668;0,0;2,99668;0,0;2,99668;100,0;;;;;15,23000;51,31000;1
RUAL;РУСАЛ ао;РУСАЛ ОК МКПАО ао;Акции обыкновенные;RU000A1025V3;1-01-16677-A;1;0,65652;RUB;15193014862;1;0;TQBR;Т+: Акции и ДР - безадрес.;;30.03.2015;1;1;0;0;2022-10-20;;;закрытие реестра;609012000743.27;609012000743.27;"Международная компания публичное акционерное общество ""Объединённая Компания ""РУСАЛ""""";3906394938;10;40,05;40,05;32,04;48,06;29,637;50,463;26,834;53,267;20,0;4295510;26,0;21477550;33,0;8,22000;8,40000;0
RUSI;ИКРУСС-ИНВ;РУСС-ИНВЕСТ ИК ПАО ао;Акции обыкновенные;RU000A0JQ9W5;1-01-00409-A;3;1,0;RUB;109000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;23.11.2011;0;0;0;0;;;;;6561800000.0;6561800000.0;"Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""";7704081545;10;60,133;60,133;0,0;120,266;0,0;120,266;0,0;120,266;100,0;;;;;12,34000;22,68000;1
RZSB;РязЭнСб;"""Рязанская энергосб.комп"" ПАО";Акции обыкновенные;RU000A0D9AF5;1-01-50092-A;3;0,05;RUB;206940220;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.09.2005;0;0;0;0;2023-06-01;;;закрытие реестра (рекомендуемая);7201519655.999999;7201519655.999999;"Публичное акционерное общество ""Рязанская энергетическая сбытовая компания""";6229049014;100;34,6215;34,6215;0,0;69,243;0,0;69,243;0,0;69,243;100,0;;;;;9,07000;11,20000;1
SAGO;СамарЭн-ао;Самараэнерго (ПАО) - ао;Акции обыкновенные;RU0009098255;1-02-00127-A;3;0,25;RUB;3538928532;0;0;TQBR;Т+: Акции и ДР - безадрес.;;21.07.2003;0;0;0;0;;;;;7481294916.648;8588964232.408;"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""";6315222985;1000;2,11165;2,11165;0,0;4,2233;0,0;4,2233;0,0;4,2233;100,0;;;;;9,90000;41,27000;1
SARE;СаратЭн-ао;Саратовэнерго(ПАО)-ао;Акции обыкновенные;RU0009100754;1-02-00132-A;3;0,02;RUB;4865127996;0;0;TQBR;Т+: Акции и ДР - безадрес.;;24.11.2011;0;0;0;0;;;;;931185498.4344;1181465260.0344;"Публичное акционерное общество ""Саратовэнерго""";6450014808;10000;0,191188;0,191188;0,0;0,382376;0,0;0,382376;0,0;0,382376;100,0;;;;;17,44000;42,60000;1
SBER;Сбербанк;Сбербанк России ПАО ао;Акции обыкновенные;RU0009029540;10301481B;1;3,0;RUB;21586948000;1;0;TQBR;Т+: Акции и ДР - безадрес.;;20.07.2007;1;1;0;0;2023-05-11;25.0;0.1042;закрытие реестра;5131217539600.0;5368017539600.0;"Публичное акционерное общество ""Сбербанк России""";7707083893;10;239,726;239,726;172,603;306,849;158,219;321,233;141,438;338,014;28,0;9246210;34,0;46231050;41,0;6,53000;8,36000;0
SELG;Селигдар;"ПАО ""Селигдар""  ао";Акции обыкновенные;RU000A0JPR50;1-01-32694-F;1;1,0;RUB;1030000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;22.09.2011;0;0;0;0;2022-06-21;;;закрытие реестра;50882000000.0;50882000000.0;"Публичное акционерное общество ""Селигдар""";1402047184;10;49,3627;49,3627;14,8088;83,9166;9,8725;88,8529;2,4681;96,2573;70,0;224115;80,0;1120575;95,0;7,54000;9,45000;1
SFIN;ЭсЭфАй ао;ЭсЭфАй ПАО ао;Акции обыкновенные;RU000A0JVW89;1-02-56453-P;1;0,67;RUB;111637791;0;0;TQBR;Т+: Акции и ДР - безадрес.;;04.12.2015;0;0;0;0;2019-06-08;14.5;0.0292;закрытие реестра;54188983751.399994;54188983751.399994;"Публичное акционерное общество ""ЭсЭфАй""";6164077483;10;484,861;484,861;0,0;969,722;0,0;969,722;0,0;969,722;100,0;;;;;5,16000;6,56000;1
SGZH;Сегежа;Сегежа ао;Акции обыкновенные;RU000A102XG9;1-01-87154-H;1;0,1;RUB;15690000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.04.2021;1;0;0;0;2022-06-02;;;закрытие реестра;82498020000.0;82498020000.0;"Публичное акционерное общество Группа компаний ""Сегежа""";9703024202;100;5,3129;5,3129;3,9847;6,6411;3,6659;6,9599;3,294;7,3318;25,0;2324525;31,0;11622625;38,0;9,26000;7,20000;0
SIBN;Газпрнефть;Газпром нефть ПАО ао;Акции обыкновенные;RU0009062467;1-01-00146-A;3;0,0016;RUB;4741299639;0;0;TQBR;Т+: Акции и ДР - безадрес.;;10.07.2003;1;0;0;0;2022-12-30;;;закрытие реестра;2256858628164.0;2256858628164.0;"Публичное акционерное общество ""Газпром нефть""";5504036333;1;476,442;476,442;381,154;571,73;352,567;600,317;319,216;633,668;20,0;205630;26,0;1028150;33,0;8,56000;5,91000;0
SLEN;Сахэнер ао;"ПАО ""Сахалинэнерго"" ао";Акции обыкновенные;RU0009280465;1-03-00272-A;3;10,0;RUB;1237175444;0;0;TQBR;Т+: Акции и ДР - безадрес.;;06.02.2017;0;0;0;0;;;;;4608478528.900001;4608478528.900001;"Публичное акционерное общество энергетики и электрификации ""Сахалинэнерго""";6500000024;100;3,7209;3,7209;0,0;7,4418;0,0;7,4418;0,0;7,4418;100,0;;;;;9,52000;11,91000;1
SMLT;Самолет ао;ГК Самолет ао;Акции обыкновенные;RU000A0ZZG02;1-01-16493-A;1;25,0;RUB;61579358;0;0;TQBR;Т+: Акции и ДР - безадрес.;;29.10.2020;1;0;0;0;2022-10-12;;;закрытие реестра;153055494309.0;153055494309.0;"публичное акционерное общество ""Группа компаний ""Самолет""";9731004688;1;2485,24;2485,24;1242,62;3727,86;621,31;4349,17;124,26;4846,22;50,0;17782;75,0;88912;95,0;10,22000;8,19000;0
SNGS;Сургнфгз;Сургутнефтегаз ПАО акции об.;Акции обыкновенные;RU0008926258;1-01-00155-A;2;1,0;RUB;35725994705;1;0;TQBR;Т+: Акции и ДР - безадрес.;;11.01.2005;1;1;0;0;2022-07-20;0.8;0.0321;закрытие реестра;832415676626.5;1088930727843.175;"Публичное акционерное общество ""Сургутнефтегаз""";8602060555;100;23,3742;23,3742;17,5307;29,2178;16,1282;30,6202;14,492;32,2564;25,0;7118828;31,0;35594140;38,0;9,57000;8,78000;0
SPBE;СПБ Биржа;СПБ Биржа ао;Акции обыкновенные;RU000A0JQ9P9;1-01-55439-E;3;3,75;RUB;132843907;0;0;TQBR;Т+: Акции и ДР - безадрес.;;19.11.2021;1;0;0;0;;;;;19621045063.899998;19621045063.899998;"Публичное акционерное общество ""СПБ Биржа""";7801268965;1;148,28;148,28;0,0;296,56;0,0;296,56;0,0;296,56;100,0;;;;;19,19000;44,08000;1
STSB;СтаврЭнСб;Ставрополэнергосбыт ПАО ао;Акции обыкновенные;RU000A0ET1W4;1-01-50119-A;3;0,0048;RUB;859074636;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.03.2008;0;0;0;0;2022-07-04;;;закрытие реестра;1126246847.796;1511403332.694;"Публичное акционерное общество ""Ставропольэнергосбыт""";2626033550;1000;1,29656;1,29656;0,0;2,59312;0,0;2,59312;0,0;2,59312;100,0;;;;;10,99000;23,68000;1
SVAV;СОЛЛЕРС;"ПАО ""СОЛЛЕРС""";Акции обыкновенные;RU0006914488;1-01-02461-D;2;12,5;RUB;34270159;0;0;TQBR;Т+: Акции и ДР - безадрес.;;22.04.2005;0;0;0;0;2023-07-10;;;закрытие реестра (рекомендуемая);14633357893.0;14633357893.0;"Публичное акционерное общество ""СОЛЛЕРС""";3528079131;10;428,524;428,524;214,262;642,786;107,131;749,917;21,426;835,622;50,0;41408;75,0;207040;95,0;8,67000;39,50000;1
SVET;Светофор;Светофор Групп ао;Акции обыкновенные;RU000A100592;1-01-24350-J;3;1,0;RUB;22333500;0;0;TQBR;Т+: Акции и ДР - безадрес.;;15.01.2021;0;0;0;0;2021-06-28;;;закрытие реестра;645438150.0;645438150.0;"Публичное акционерное общество ""Светофор Групп""";7814693830;1;28,87;28,87;0,0;57,74;0,0;57,74;0,0;57,74;100,0;;;;;13,25000;25,39000;1
TASB;ТамбЭнСб;"ао""Тамбов.энергсбыт.комп.""ПАО";Акции обыкновенные;RU000A0D8NG8;1-01-65100-D;3;0,02;RUB;1525986880;0;0;TQBR;Т+: Акции и ДР - безадрес.;;08.08.2005;0;0;0;0;;;;;1451976516.32;1591471825.12;"Публичное акционерное общество ""Тамбовская энергосбытовая компания""";6829010210;1000;0,950444;0,950444;0,0;1,900888;0,0;1,900888;0,0;1,900888;100,0;;;;;15,21000;46,07000;1
TATN;Татнфт 3ао;"ПАО ""Татнефть"" ао";Акции обыкновенные;RU0009033591;1-03-00161-A;1;1,0;RUB;2178690700;1;0;TQBR;Т+: Акции и ДР - безадрес.;;11.01.2005;1;1;0;0;2023-07-04;27.71;0.0719;закрытие реестра (рекомендуемая);834438538100.0;891303064850.0;"публичное акционерное общество ""Татнефть"" имени В.Д. Шашина";1644003838;1;383,84;383,84;307,07;460,61;284,04;483,64;257,17;510,51;20,0;889997;26,0;4449985;33,0;8,17000;6,71000;0
TGKA;ТГК-1;"ао ПАО ""ТГК-1""";Акции обыкновенные;RU000A0JNUD0;1-01-03388-D;1;0,01;RUB;3854341416571;0;0;TQBR;Т+: Акции и ДР - безадрес.;;26.03.2007;0;0;0;0;2021-07-05;;;закрытие реестра;34488646995.4773;34488646995.4773;"Публичное акционерное общество ""Территориальная генерирующая компания №1""";7841312071;100000;0,0089361;0,0089361;0,0059872;0,011885;0,0044681;0,0134042;0,002234;0,0156382;33,0;833333333;50,0;4166666665;75,0;7,76000;10,07000;0
TGKB;ТГК-2;"ао ПАО ""ТГК-2""";Акции обыкновенные;RU000A0JNGS7;1-01-10420-A;3;0,01;RUB;1458404850747;0;0;TQBR;Т+: Акции и ДР - безадрес.;;20.10.2006;0;0;0;0;;;;;6825334701.49596;6983904830.17037;"Публичное акционерное общество ""Территориальная генерирующая компания №2""";7606053324;1000000;0,00464983;0,00464983;0,00232492;0,00697475;0,00116246;0,0081372;0,00023249;0,00906717;50,0;2421307506;75,0;12106537530;95,0;9,16000;17,44000;1
TGKN;ТГК-14;"ао ПАО ""ТГК-14""";Акции обыкновенные;RU000A0H1ES3;1-01-22451-F;2;0,001;RUB;1357945609114;0;0;TQBR;Т+: Акции и ДР - безадрес.;;25.01.2007;0;0;0;0;;;;;7047737711.301661;7047737711.301661;"Публичное акционерное общество ""Территориальная генерирующая компания № 14""";7534018889;1000000;0,00518424;0,00518424;0,0;0,01036848;0,0;0,01036848;0,0;0,01036848;100,0;;;;;5,83000;16,72000;1
TNSE;ТНСэнрг ао;"ПАО ГК ""ТНС энерго"" ао";Акции обыкновенные;RU000A0JUCQ5;1-01-15521-A;3;1,0;RUB;13668239;0;0;TQBR;Т+: Акции и ДР - безадрес.;;17.06.2015;0;0;0;0;2016-07-13;;;закрытие реестра;12438097490.0;12438097490.0;"Публичное акционерное общество Группа компаний ""ТНС энерго""";7705541227;1;908,99;908,99;0,0;1817,98;0,0;1817,98;0,0;1817,98;100,0;;;;;8,93000;16,28000;1
TORS;ТРК ао;"ао ""Томская распределит.комп.""";Акции обыкновенные;RU000A0ETZF2;1-01-50128-A;3;0,4916;RUB;3819315580;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.12.2005;0;0;0;0;2022-12-17;;;закрытие реестра;1947850945.8;2145944991.3;"Публичное акционерное общество ""Томская распределительная компания""";7017114672;10000;0,509434;0,509434;0,0;1,018868;0,0;1,018868;0,0;1,018868;100,0;;;;;14,95000;36,75000;1
TRMK;ТМК ао;ПАО ТМК;Акции обыкновенные;RU000A0B6NK6;1-01-29031-H;2;10,0;RUB;1033135366;0;0;TQBR;Т+: Акции и ДР - безадрес.;;10.04.2007;0;0;0;0;2023-01-31;6.78;0.0811;закрытие реестра;102321726648.64;102321726648.64;"Публичное акционерное общество ""Трубная Металлургическая Компания""";7710373095;10;98,972;98,972;29,692;168,252;19,794;178,15;4,949;192,995;70,0;100406;80,0;502030;95,0;13,45000;12,95000;0
TTLK;Таттел. ао;"""Таттелеком"" ПАО ао";Акции обыкновенные;RU000A0HM5C1;1-02-50049-A;3;0,1;RUB;20843976400;0;0;TQBR;Т+: Акции и ДР - безадрес.;;21.03.2007;0;0;0;0;2023-04-18;;;закрытие реестра;14205169916.6;14205169916.6;"Публичное акционерное общество ""Таттелеком""";1681000024;1000;0,68074;0,68074;0,34037;1,02111;0,17019;1,1913;0,03404;1,32744;50,0;18254837;75,0;91274185;95,0;9,93000;12,43000;1
TUZA;ТЗА ао;Туймаз. завод автобетоновозов;Акции обыкновенные;RU000A0HL7A2;1-01-30455-D;3;10,0;RUB;8220000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.08.2008;0;0;0;0;;;;;1463160000.0;1463160000.0;"Публичное акционерное общество ""Туймазинский завод автобетоновозов""";0269008334;10;176,804;176,804;0,0;353,608;0,0;353,608;0,0;353,608;100,0;;;;;9,51000;23,76000;1
UCSS;ОКС ао;ПАО ОКС ао;Акции обыкновенные;RU000A0JTQK0;1-01-15296-A;3;1000,0;RUB;23718856;0;0;TQBR;Т+: Акции и ДР - безадрес.;;14.05.2013;0;0;0;0;2018-07-12;;;закрытие реестра;21939941800.0;21939941800.0;"Публичное акционерное общество ""Объединенные Кредитные Системы""";7708776756;1;923,97;923,97;0,0;1847,94;0,0;1847,94;0,0;1847,94;100,0;;;;;8,59000;9,08000;1
UKUZ;ЮжКузб. ао;Южный Кузбасс ПАО ао;Акции обыкновенные;RU0005294775;1-02-10591-F;3;0,04;RUB;36149002;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.08.2008;0;0;0;0;2013-05-06;;;закрытие реестра;52922138928.0;52922138928.0;"Публичное акционерное общество ""Угольная компания ""Южный Кузбасс""";4214000608;1;1448,39;1448,39;0,0;2896,78;0,0;2896,78;0,0;2896,78;100,0;;;;;10,32000;14,08000;1
UNAC;iАвиастКао;Об.авиастр.корп. ПАО ао;Акции обыкновенные;RU000A0JPLZ7;1-02-55306-E;3;0,27;RUB;532939780119;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;17.09.2013;0;0;0;0;2015-07-11;;;закрытие реестра;358135532239.968;358135532239.968;"Публичное акционерное общество ""Объединенная авиастроительная корпорация""";7708619320;1000;0,67175;0,67175;0,33588;1,00763;0,16794;1,17556;0,03359;1,30991;50,0;17361111;75,0;86805555;95,0;9,05000;9,57000;1
UNKL;ЮУНК ао;Южно-Уральский никел. комб. ао;Акции обыкновенные;RU0004887991;1-01-00197-A;3;1,0;RUB;599737;0;0;TQBR;Т+: Акции и ДР - безадрес.;;20.04.2012;0;0;0;0;;;;;5901412080.0;5901412080.0;"Публичное акционерное общество ""Южно-Уральский никелевый комбинат""";5613000143;1;9869,04;9869,04;0,0;19738,08;0,0;19738,08;0,0;19738,08;100,0;;;;;12,35000;39,30000;1
UPRO;Юнипро ао;Юнипро ПАО ао;Акции обыкновенные;RU000A0JNGA5;1-02-65104-D;1;0,4;RUB;63048706145;0;0;TQBR;Т+: Акции и ДР - безадрес.;;24.05.2007;1;0;0;0;2021-12-17;0.190329044536;0.0726;закрытие реестра;112352794350.39;112352794350.39;"Публичное акционерное общество ""Юнипро""";8602067092;1000;1,78602;1,78602;1,19663;2,37541;1,08947;2,48257;0,96445;2,60759;33,0;9113094;39,0;45565470;46,0;10,64000;8,89000;0
URKZ;УрКузница;"ПАО ""Уральская кузница"" ао";Акции обыкновенные;RU000A0JPFY2;1-01-32341-D;3;1,0;RUB;547761;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.05.2012;0;0;0;0;;;;;12625891050.0;12625891050.0;"Публичное акционерное общество ""Уральская кузница""";7420000133;1;22974,48;22974,48;0,0;45948,96;0,0;45948,96;0,0;45948,96;100,0;;;;;9,79000;15,77000;1
USBN;УралСиб ао;БАНК УРАЛСИБ ПАО ао;Акции обыкновенные;RU0006929536;10200030B;3;0,1;RUB;360134697357;0;0;TQBR;Т+: Акции и ДР - безадрес.;;14.12.2011;0;0;0;0;2013-04-15;;;закрытие реестра;40082991815.8341;40082991815.8341;"Публичное акционерное общество ""БАНК УРАЛСИБ""";0274062111;10000;0,111176;0,111176;0,0;0,222352;0,0;0,222352;0,0;0,222352;100,0;;;;;9,38000;13,09000;1
UTAR;ЮТэйр ао;"Авиакомания ""ЮТэйр"" (ПАО) ао";Акции обыкновенные;RU0007661385;1-01-00077-F;3;1,0;RUB;7896123268;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.01.2005;0;0;0;0;2013-05-13;;;закрытие реестра;62537296282.56;62537296282.56;"Публичное акционерное общество ""Авиакомпания ""ЮТэйр""";7204002873;100;7,9112;7,9112;0,0;15,8224;0,0;15,8224;0,0;15,8224;100,0;;;;;6,85000;7,26000;1
VGSB;ВолгЭнСб;"""Волгоград.энергосбыткомп"" ПАО";Акции обыкновенные;RU000A0D8L73;1-01-65103-D;3;0,12;RUB;319595965;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.09.2005;0;0;0;0;;;;;1815305081.1999998;2142936556.58;"Публичное акционерное общество ""Волгоградэнергосбыт""";3445071523;1000;5,6737;5,6737;0,0;11,3474;0,0;11,3474;0,0;11,3474;100,0;;;;;18,14000;34,60000;1
VJGZ;Варьеган;ННК-Варьеганнефтегаз ПАО ао;Акции обыкновенные;RU0009046460;1-01-00017-A;3;0,1;RUB;18091110;0;0;TQBR;Т+: Акции и ДР - безадрес.;;14.12.2011;0;0;0;0;;;;;31406166960.0;35765507010.0;"Публичное акционерное общество ""ННК-Варьеганнефтегаз""";8609000160;1;1731,08;1731,08;0,0;3462,16;0,0;3462,16;0,0;3462,16;100,0;;;;;13,99000;21,50000;1
